particle_id,particle_type,vx,vy,vz,px,py,pz,q,nhits
1,-13,-2.94755,2.26269,164.216,-67553.5,-66922.2,-138670,1,13
2,-211,0.00598836,-0.0100263,-12.523,641.933,7262.88,-5112.32,-1,14
3,-211,0.00598836,-0.0100263,-12.523,-1010.74,1329.58,-12147.8,-1,15
4,211,0.00598836,-0.0100263,-12.523,-729.948,934.522,2124.68,1,14
6,-321,0.00598836,-0.0100263,-12.523,86.6833,-1224,-3277.49,-1,20
7,211,0.00598836,-0.0100263,-12.523,-737.186,745.819,-20818.8,1,16
8,321,0.00598836,-0.0100263,-12.523,2440.4,-2676.97,-3612.18,1,15
9,211,0.00598836,-0.0100263,-12.523,843.937,-1246.89,5011.98,1,24
10,-211,0.00598836,-0.0100263,-12.523,624.387,-866.564,2786.71,-1,20
11,2212,0.00598836,-0.0100263,-12.523,-1179.65,-660.634,-23021.1,1,20
12,211,0.00598836,-0.0100263,-12.523,-1413.65,414.475,1748.05,1,12
13,211,0.00598836,-0.0100263,-12.523,-988.584,-640.16,7090.61,1,17
14,2212,0.00598836,-0.0100263,-12.523,1099.6,709.43,1498.3,1,15
15,-211,0.00598836,-0.0100263,-12.523,1065.36,-864.152,-898.886,-1,14
16,211,0.00598836,-0.0100263,-12.523,681.941,1042.84,-1047.13,1,17
17,-211,-0.0384847,-0.00459646,55.0892,484.966,-1563.84,-16830.3,-1,15
18,-211,-0.0384847,-0.00459646,55.0892,421.1,-1204.96,-1111.26,-1,14
19,-211,-0.0384847,-0.00459646,55.0892,1021.4,-1568.06,20009.3,-1,10
21,211,-0.0384847,-0.00459646,55.0892,-163.43,-1105.74,8732.24,1,21
22,211,-0.0384847,-0.00459646,55.0892,-1171.98,143.482,5626.27,1,18
23,-211,-0.0384847,-0.00459646,55.0892,708.215,-1864.69,-9154.76,-1,16
24,2212,-0.0384847,-0.00459646,55.0892,-1126.85,1332.4,-44528.5,1,12
25,-211,-0.0384847,-0.00459646,55.0892,936.407,-758.662,-641.851,-1,13
26,211,-0.0384847,-0.00459646,55.0892,-176.852,2096.15,736.912,1,15
27,-211,-0.0384847,-0.00459646,55.0892,847.372,1941.2,42788.3,-1,14
28,211,-0.0384847,-0.00459646,55.0892,970.111,1371.81,18161.7,1,12
29,211,-0.0384847,-0.00459646,55.0892,-963.047,1129.48,20109.7,1,12
30,-2212,-0.0384847,-0.00459646,55.0892,-529.337,1134.17,12531.1,-1,21
31,2212,-0.0384847,-0.00459646,55.0892,1116.72,-767.525,16019,1,11
32,211,-0.0384847,-0.00459646,55.0892,1436.48,-445.608,7262.5,1,17
33,321,-0.0384847,-0.00459646,55.0892,-1396.31,-1460.88,8682.83,1,20
34,-211,-0.0384847,-0.00459646,55.0892,-2119.54,-874.394,8156.17,-1,9
35,211,-0.0384847,-0.00459646,55.0892,781.623,855.759,-27176.5,1,20
36,211,-0.0384847,-0.00459646,55.0892,40.0202,1001.65,-1982.27,1,15
37,211,-0.0384847,-0.00459646,55.0892,302.47,-1158.93,-3428.57,1,19
38,-211,-0.0384847,-0.00459646,55.0892,-179.559,-1124.46,-1780.03,-1,12
39,211,-0.0384847,-0.00459646,55.0892,576.655,-835.108,-10292.7,1,14
40,211,-0.0384847,-0.00459646,55.0892,1953.88,-676.874,-23364.8,1,8
41,211,-0.0384847,-0.00459646,55.0892,994.777,-231.426,25414.9,1,11
42,211,-0.0384847,-0.00459646,55.0892,-360.209,-1161.08,-1855.98,1,12
43,211,-0.0384847,-0.00459646,55.0892,-1022.26,-1045.57,-3445.68,1,16
44,-211,-0.0384847,-0.00459646,55.0892,-636.061,-802.908,18055.3,-1,11
45,211,-0.0384847,-0.00459646,55.0892,1110.05,123.742,-13418.5,1,13
46,211,-0.0384847,-0.00459646,55.0892,707.079,737.514,-5143.38,1,21
47,211,-0.0384847,-0.00459646,55.0892,1057.65,-855.262,-870.078,1,13
48,-211,-0.0384847,-0.00459646,55.0892,1585.81,692.803,-27.0099,-1,13
51,-211,-0.0384847,-0.00459646,55.0892,-616.331,1880.82,18492.9,-1,11
53,321,-0.0384847,-0.00459646,55.0892,381.782,1244.1,1849.81,1,13
54,-211,-0.0384847,-0.00459646,55.0892,803.255,752.438,-25757.4,-1,22
55,-211,-0.0384847,-0.00459646,55.0892,-860.904,-941.641,-4927.18,-1,23
57,211,-0.0384847,-0.00459646,55.0892,229.391,-1293.21,2060.83,1,18
59,-321,-0.0384847,-0.00459646,55.0892,-213.913,1052.8,1233.98,-1,15
60,-211,0.00892295,-0.00592621,103.942,873.118,-526.477,10604.9,-1,13
61,211,0.00892295,-0.00592621,103.942,-1235.5,224.828,-11148.1,1,21
62,2212,0.00892295,-0.00592621,103.942,1100,48.5845,-1642.66,1,11
63,211,0.00892295,-0.00592621,103.942,1099.93,1027.44,-10097,1,12
64,-211,0.00892295,-0.00592621,103.942,-1458.03,135.444,-20195.9,-1,12
65,-211,0.00892295,-0.00592621,103.942,893.733,517.798,22930.7,-1,13
66,211,0.00892295,-0.00592621,103.942,575.647,-910.924,15304.4,1,15
67,211,-0.0023521,0.0193582,-45.0247,2683.85,4976.62,-66637.5,1,16
68,321,-0.0023521,0.0193582,-45.0247,332.686,1381.82,-2294.65,1,15
69,211,-0.0023521,0.0193582,-45.0247,948.59,981.904,-10675.4,1,18
70,-321,-0.0023521,0.0193582,-45.0247,850.76,1337.93,-10598,-1,13
71,3112,-0.0023521,0.0193582,-45.0247,1965.7,-629.522,-49055.8,-1,11
72,2212,-0.0023521,0.0193582,-45.0247,-1271.42,798.288,1649.88,1,15
73,211,-0.0023521,0.0193582,-45.0247,813.735,-914.207,-1712.65,1,13
74,-211,-0.0023521,0.0193582,-45.0247,1058.86,41.3306,10323,-1,15
75,211,-0.0023521,0.0193582,-45.0247,1663.31,-1551.62,15200.2,1,22
76,-211,-0.0023521,0.0193582,-45.0247,-1614.84,459.51,-13713.6,-1,13
77,-211,-0.0023521,0.0193582,-45.0247,-1099.72,118.539,-8561.15,-1,13
78,211,-0.0023521,0.0193582,-45.0247,-804.921,675.523,-2401.95,1,18
79,-2212,-0.0023521,0.0193582,-45.0247,811.744,-602.676,374.393,-1,6
80,211,-0.0023521,0.0193582,-45.0247,1874.06,-1503.79,-1338.97,1,14
81,-321,-0.0023521,0.0193582,-45.0247,-1106.26,-1017.36,-106.325,-1,17
82,321,-0.0023521,0.0193582,-45.0247,-134.707,1180.63,-16648.4,1,16
83,-211,-0.0023521,0.0193582,-45.0247,-1163.33,41.2739,-7655.65,-1,15
84,-321,-0.0023521,0.0193582,-45.0247,-283.001,-1451.43,3773.31,-1,20
85,211,-0.0023521,0.0193582,-45.0247,-1086.25,972.015,20.0261,1,15
86,211,-0.0023521,0.0193582,-45.0247,1210.46,-825.037,-2162.03,1,15
87,211,-0.0023521,0.0193582,-45.0247,1435.9,1054.41,-6982.57,1,19
88,211,-0.0023521,0.0193582,-45.0247,-1724.61,-355.76,-1237.15,1,14
89,-211,-0.0023521,0.0193582,-45.0247,1739.28,-1092.3,16357.9,-1,16
91,2212,-0.0023521,0.0193582,-45.0247,-240.302,1255.36,3968.6,1,8
92,211,-0.0023521,0.0193582,-45.0247,-276.183,1325.83,1828.45,1,14
93,-2212,-0.0023521,0.0193582,-45.0247,-1147.07,1727.18,3069.79,-1,12
94,-211,-0.0023521,0.0193582,-45.0247,-491.957,1104.06,1361.78,-1,14
95,-211,-0.0023521,0.0193582,-45.0247,1661.33,-703.495,-127.707,-1,14
96,211,-0.0023521,0.0193582,-45.0247,-1215.92,-1457.47,365.827,1,15
97,-211,-0.0023521,0.0193582,-45.0247,-972.778,-389.549,-489.121,-1,13
98,-211,-0.0023521,0.0193582,-45.0247,1127.59,-1226.83,-33716,-1,19
99,2212,-0.0023521,0.0193582,-45.0247,-846.342,730.584,-10304.9,1,15
100,211,0.00811273,-0.00809284,30.5534,-1071.97,-59.3045,-23019,1,12
101,-211,0.00121231,0.0057527,-8.98474,-846.198,573.719,2971.97,-1,23
102,211,0.00731887,0.01764,74.1552,460.48,1033.08,-397.555,1,12
104,321,-0.00198063,-0.0174359,-76.5708,129.678,-1142.7,1396.17,1,11
105,211,-0.00198063,-0.0174359,-76.5708,1327.82,532.888,-4926.25,1,21
106,321,-0.00198063,-0.0174359,-76.5708,1023.05,2051.17,-12305.8,1,25
107,211,-0.012122,0.00469512,17.7733,180.453,1894.84,-435.557,1,15
109,-2212,-0.012122,0.00469512,17.7733,1128.15,-184.593,-808.707,-1,14
110,-211,-0.012122,0.00469512,17.7733,922.269,-1073.87,23916.7,-1,14
111,-321,-0.012122,0.00469512,17.7733,860.666,-2032.88,31521.2,-1,11
112,211,-0.012122,0.00469512,17.7733,-579.305,-1208.15,7480.62,1,25
113,-211,-0.012122,0.00469512,17.7733,1758.86,-40.8332,-12189.6,-1,16
114,-211,-0.012122,0.00469512,17.7733,1767.65,1.57458,-8425.78,-1,18
115,2212,-0.012122,0.00469512,17.7733,-570.948,979.904,-8752.27,1,20
116,-211,-0.012122,0.00469512,17.7733,232.177,-2205.77,-14777.3,-1,20
117,211,-0.012122,0.00469512,17.7733,1380.01,-57.8822,7428.76,1,18
118,321,-0.012122,0.00469512,17.7733,1310.22,-1223.76,-248.276,1,15
119,-211,-0.012122,0.00469512,17.7733,-756.019,1305.5,3187.17,-1,17
121,2212,-0.012122,0.00469512,17.7733,65.7679,2040.78,16899.2,1,14
122,211,-0.012122,0.00469512,17.7733,-1020.74,677.4,-944.075,1,16
123,-211,-0.012122,0.00469512,17.7733,-1165.69,-902.068,5205.18,-1,20
124,-211,-0.012122,0.00469512,17.7733,808.185,636.005,-12232.8,-1,9
125,-211,-0.012122,0.00469512,17.7733,-117.847,1126.54,-2051.69,-1,14
126,211,-0.012122,0.00469512,17.7733,-994.798,-569.258,-1014.23,1,15
127,-321,-0.012122,0.00469512,17.7733,-1294.61,-1464.97,-10528.7,-1,9
128,211,-0.012122,0.00469512,17.7733,2762.26,221.848,7663.04,1,20
129,211,-0.012122,0.00469512,17.7733,-1110.16,466.26,8572.16,1,18
130,-211,-0.012122,0.00469512,17.7733,-2347.39,-777.202,59270,-1,14
131,-211,-0.012122,0.00469512,17.7733,1347.24,-371.44,-2811.72,-1,15
132,211,-0.00696664,0.0133003,-38.8423,889.526,1037.37,13282.2,1,15
133,-211,-0.00696664,0.0133003,-38.8423,893.793,905.371,-5390.74,-1,22
134,-321,-0.00696664,0.0133003,-38.8423,1948.13,-1156.73,-7507.02,-1,22
135,211,-0.00696664,0.0133003,-38.8423,-810.679,653.41,-12530.9,1,10
136,211,-0.00696664,0.0133003,-38.8423,1065.17,-321.304,-28093.2,1,12
137,211,-0.00696664,0.0133003,-38.8423,618.504,851.834,-7805.55,1,16
138,321,-0.00696664,0.0133003,-38.8423,-1532.75,626.396,-10021.9,1,16
139,-211,-0.00696664,0.0133003,-38.8423,-1559.61,-670.654,293.322,-1,13
140,2212,-0.00696664,0.0133003,-38.8423,-1097.19,-85.5771,4282.38,1,6
142,211,-0.00696664,0.0133003,-38.8423,1026.88,-244.791,-10210.5,1,15
143,-211,-0.00696664,0.0133003,-38.8423,800.058,-1006.97,-30049.3,-1,11
144,-211,-0.00696664,0.0133003,-38.8423,803.304,1254.74,-8205.3,-1,18
145,-211,-0.00696664,0.0133003,-38.8423,-2696.25,-171.188,3140.46,-1,16
146,-211,-0.00696664,0.0133003,-38.8423,390.395,1634.01,5450.39,-1,23
147,211,-0.00696664,0.0133003,-38.8423,-276.225,2064.99,5255.3,1,22
148,211,-0.00696664,0.0133003,-38.8423,728.51,938.118,-6483.52,1,16
149,-211,-0.00696664,0.0133003,-38.8423,-0.252265,-1053.61,-22617.7,-1,10
150,321,0.00681773,-0.00990234,-1.8894,1834.06,167.017,3774.97,1,18
151,-211,0.00681773,-0.00990234,-1.8894,-1894.72,-1593.25,-2276.68,-1,14
152,321,0.00681773,-0.00990234,-1.8894,-2351.67,-1055.78,-2318.49,1,16
153,-211,0.00681773,-0.00990234,-1.8894,-1380.98,25.1615,-1904.85,-1,10
154,-211,0.00681773,-0.00990234,-1.8894,1328.46,-707.489,1509.91,-1,16
155,211,0.0079495,0.0140866,-10.1612,-1108.39,-1015.11,-27553.1,1,12
156,-211,0.0079495,0.0140866,-10.1612,-823.408,572.81,-1932.79,-1,14
157,211,0.0079495,0.0140866,-10.1612,-1032.66,444.633,-16797.4,1,17
158,-211,0.0079495,0.0140866,-10.1612,-1163.65,826.704,-17126.9,-1,11
159,2212,0.0079495,0.0140866,-10.1612,1003.11,-646.182,18157.2,1,13
160,-211,0.0079495,0.0140866,-10.1612,-429.241,-1041.15,10113.3,-1,12
161,-211,-0.00401138,-0.000100894,-47.5868,-211.853,986.731,-17697,-1,13
162,211,-0.000122265,-0.000591524,24.4545,929.27,961.714,1127.7,1,15
164,-211,-0.000122265,-0.000591524,24.4545,1334.2,1344.29,327.81,-1,13
165,-211,-0.000122265,-0.000591524,24.4545,-779.176,683.806,2347.65,-1,22
166,-321,-0.000122265,-0.000591524,24.4545,-656.872,-866.313,-24164.5,-1,11
167,-211,-0.000122265,-0.000591524,24.4545,917.44,1099.57,51.9671,-1,5
168,-211,-0.0350915,-0.00772055,-31.6977,-959.192,729.342,-1201.01,-1,14
169,-211,-0.0350915,-0.00772055,-31.6977,-1054.02,106.182,-6813.58,-1,18
170,211,0.0110135,0.0210975,14.5597,1032.57,926.856,-28237.9,1,11
171,321,0.0110135,0.0210975,14.5597,726.652,-1367.96,4725.27,1,23
172,-211,0.0110135,0.0210975,14.5597,1014.92,-1678.82,8302.36,-1,18
173,-211,0.0110135,0.0210975,14.5597,-978.131,-3173.71,-4975.16,-1,16
174,-211,0.0110135,0.0210975,14.5597,1283.76,720.056,5423.23,-1,21
175,-2212,0.0110135,0.0210975,14.5597,481.477,1456.64,2905.33,-1,14
176,211,0.0110135,0.0210975,14.5597,-229.286,1442.36,-1234.98,1,17
177,2212,0.0110135,0.0210975,14.5597,871.729,-923.224,1355.43,1,16
178,211,0.0110135,0.0210975,14.5597,515.622,1169.32,105.5,1,13
179,211,0.0110135,0.0210975,14.5597,-988.92,-1577.47,5242.34,1,20
180,-211,0.0110135,0.0210975,14.5597,-1141.79,-619.307,2146.4,-1,16
181,2212,0.0110135,0.0210975,14.5597,1326.32,-224.511,-5194.66,1,24
182,-211,0.0110135,0.0210975,14.5597,-1550.59,-2328.4,75645.1,-1,11
183,211,0.0110135,0.0210975,14.5597,-711.993,-1297.23,-2274.56,1,11
184,2212,0.0110135,0.0210975,14.5597,559.156,1608.04,44472.3,1,11
185,211,0.0110135,0.0210975,14.5597,824.807,787.762,6027.07,1,19
186,-211,0.0110135,0.0210975,14.5597,-887.525,1222,3418.3,-1,20
187,-211,0.0110135,0.0210975,14.5597,-743.876,-1021.23,-1919.14,-1,13
188,2212,4.65852,3.49839,20.5357,931.213,490.557,1147.99,1,14
189,211,0.0134368,0.00661366,30.0796,1016.39,-512.178,2759.74,1,20
190,-211,0.0134368,0.00661366,30.0796,985.023,948.324,-7699.32,-1,21
191,-211,0.0134368,0.00661366,30.0796,-1443.88,364.946,-2321.34,-1,13
192,211,0.0134368,0.00661366,30.0796,1290.41,568.092,-25458.1,1,14
193,-211,0.0134368,0.00661366,30.0796,943.906,-426.88,-5941.03,-1,17
194,211,0.0134368,0.00661366,30.0796,-462.766,1406.71,1589.78,1,14
195,211,0.0134368,0.00661366,30.0796,1258.97,-369.979,2239.4,1,15
196,-211,0.0134368,0.00661366,30.0796,-756.346,-708.034,4339.22,-1,23
197,-211,0.0134368,0.00661366,30.0796,-1141.35,-1164.05,1454.26,-1,13
198,211,-0.0123754,0.0177628,-27.5387,-630.514,-984.301,5046.41,1,19
199,-2212,-0.0123754,0.0177628,-27.5387,1326.37,617.991,6592.56,-1,22
200,211,-0.0123754,0.0177628,-27.5387,1070.58,-855.438,-267.706,1,16
201,-211,0.00153632,0.00302812,-66.1388,-508.762,-1522.82,-30704.1,-1,11
202,211,0.00153632,0.00302812,-66.1388,-327.122,1301.62,-17470.8,1,12
203,211,0.00153632,0.00302812,-66.1388,-863.677,677.673,646.852,1,14
204,321,0.00153632,0.00302812,-66.1388,-925.744,-518.047,-9971.91,1,17
205,321,0.00153632,0.00302812,-66.1388,-2369.26,-3433.21,-84959.7,1,12
206,-211,0.00153632,0.00302812,-66.1388,-566.561,-1230.53,-25757.1,-1,14
207,211,-0.000852587,0.00423519,30.4124,1231.15,352.953,-23801,1,13
208,211,-0.000852587,0.00423519,30.4124,3445.81,-52.2551,5431.74,1,13
209,-211,-0.000852587,0.00423519,30.4124,6055.79,4283.77,-98880.1,-1,8
210,211,-0.000852587,0.00423519,30.4124,1259.57,-49.9958,-13107.1,1,12
211,211,-0.000852587,0.00423519,30.4124,-764.561,-1550.66,-3154.94,1,16
213,211,-0.000852587,0.00423519,30.4124,-677.856,-1046.28,125.013,1,16
214,-321,-0.000852587,0.00423519,30.4124,-1079.78,-832.792,235.13,-1,15
215,2212,-0.000852587,0.00423519,30.4124,-395.91,-2949.18,1172.22,1,15
216,-2212,-0.000852587,0.00423519,30.4124,-32.8054,-2359.73,1803.68,-1,12
217,-211,-0.000852587,0.00423519,30.4124,1740.81,-234.316,3409.74,-1,17
218,2212,-0.000852587,0.00423519,30.4124,-40.7995,-1811.07,15783.6,1,13
219,-2212,-0.000852587,0.00423519,30.4124,1134.14,-1552.04,27712.7,-1,11
220,-211,-0.000852587,0.00423519,30.4124,1037.4,185.581,20304,-1,14
222,211,-0.000852587,0.00423519,30.4124,1267.33,517.275,4212.96,1,24
223,-211,-0.000852587,0.00423519,30.4124,806.834,831.119,1528.32,-1,15
224,211,-0.000852587,0.00423519,30.4124,-521.456,931.154,25162.2,1,18
225,-211,-0.000852587,0.00423519,30.4124,-1082.36,-229.303,19104.2,-1,11
226,-2212,-0.000852587,0.00423519,30.4124,1134.64,-139.944,22036.9,-1,16
227,-211,-0.000852587,0.00423519,30.4124,24.5409,1096.59,2722.01,-1,20
228,-211,-0.000852587,0.00423519,30.4124,699.995,1270.3,5036.13,-1,25
229,-211,-0.000852587,0.00423519,30.4124,1130,-489.071,-10106.9,-1,18
230,211,-0.000852587,0.00423519,30.4124,1859.17,636.875,-18660.1,1,15
231,-211,-0.000852587,0.00423519,30.4124,671.703,849.938,-10657.6,-1,12
232,-211,-0.000852587,0.00423519,30.4124,-798.579,-1228.47,-554.399,-1,14
233,211,-0.000852587,0.00423519,30.4124,-239.524,-996.387,-41.4162,1,15
234,211,-0.000852587,0.00423519,30.4124,-1089.26,1276.22,1172.64,1,16
235,-211,-0.000852587,0.00423519,30.4124,-306.523,1084.99,819.206,-1,13
236,-211,-0.000852587,0.00423519,30.4124,-1114.23,-1812.2,1076.06,-1,9
237,211,-0.000852587,0.00423519,30.4124,-629.113,-1043.77,1177.14,1,16
238,-211,-0.000852587,0.00423519,30.4124,-273.951,-1381.86,6036.06,-1,24
239,-211,-0.000852587,0.00423519,30.4124,-1014.2,-756.014,7133.36,-1,20
240,2212,-0.000852587,0.00423519,30.4124,730.388,-1771.04,22853.6,1,8
241,-211,-0.000852587,0.00423519,30.4124,652.007,-1381.6,18183.9,-1,20
242,-2212,-0.000852587,0.00423519,30.4124,70.9628,-1402.59,18776.3,-1,13
243,211,-0.000852587,0.00423519,30.4124,-345.14,-3483.91,34199.2,1,15
244,211,-0.000852587,0.00423519,30.4124,1533.91,-63.7994,9287.97,1,16
245,-211,-0.000852587,0.00423519,30.4124,1372.89,416.543,6338.81,-1,18
246,-211,-0.000852587,0.00423519,30.4124,1861.46,-141.887,4666.06,-1,19
248,-211,-0.000852587,0.00423519,30.4124,1036.8,589.71,3090.63,-1,20
249,2212,-0.000852587,0.00423519,30.4124,1164.76,1199.89,-256.228,1,14
250,211,-0.000852587,0.00423519,30.4124,1720.37,-79.3529,13323,1,13
251,321,-0.000852587,0.00423519,30.4124,1299.61,523.647,12918.4,1,14
252,211,-0.000852587,0.00423519,30.4124,-1765.52,702.514,9371.37,1,19
253,-211,-0.000852587,0.00423519,30.4124,-785.59,1254.12,2458.09,-1,17
254,211,-0.000852587,0.00423519,30.4124,-594.8,3159.49,4534.35,1,16
255,-211,-0.000852587,0.00423519,30.4124,-446.425,1702.59,2833.68,-1,14
256,-211,-0.000852587,0.00423519,30.4124,-1088.45,299.312,4369.14,-1,20
257,321,-0.0738123,-0.0762138,32.0444,-887.449,-953.779,16214.9,1,13
258,321,0.397883,0.984592,54.3654,746.743,1435.24,33352.9,1,18
259,-321,0.397883,0.984592,54.3654,655.112,1752.1,36217.7,-1,14
260,-211,-0.341586,-0.349652,37.1774,-1128.39,-1049.63,15234.6,-1,17
261,211,0.00121885,-0.0113507,-10.0248,-1256.92,-1312.35,-24467,1,21
262,-321,0.00575841,-0.0142517,121.18,717.505,-833.348,7111.93,-1,17
263,211,0.00575841,-0.0142517,121.18,-1236.86,-1277.74,3018.11,1,13
264,-211,0.00575841,-0.0142517,121.18,-1481.47,532.779,5848.79,-1,20
265,-211,0.00575841,-0.0142517,121.18,-2098.91,73.3818,181.995,-1,12
266,-321,0.00575841,-0.0142517,121.18,438.012,1528.12,-43152.7,-1,12
267,211,0.00575841,-0.0142517,121.18,-1436.87,401.37,-8294.66,1,18
268,2212,0.00575841,-0.0142517,121.18,37.7098,-1014.11,-1394.77,1,14
269,211,0.00575841,-0.0142517,121.18,1701.17,-1402,-5153.55,1,17
270,211,0.00575841,-0.0142517,121.18,67.7752,-1051.69,-22511.6,1,12
271,-211,0.00575841,-0.0142517,121.18,1172.65,203.688,719.409,-1,15
272,2212,0.00575841,-0.0142517,121.18,1168.41,-354.22,1944.2,1,16
273,-211,0.00575841,-0.0142517,121.18,-433.781,-3495.71,52860.6,-1,18
274,2212,0.00575841,-0.0142517,121.18,-1248.99,-1109.8,-6661.54,1,23
275,211,0.00575841,-0.0142517,121.18,-584.126,1173.36,9293.24,1,19
276,-211,0.00575841,-0.0142517,121.18,-517.704,-940.419,-595.561,-1,13
277,211,0.00575841,-0.0142517,121.18,-2054.76,-1070.62,1352.53,1,16
278,211,0.00575841,-0.0142517,121.18,-1753.91,-620.493,58.7048,1,17
279,-211,0.00575841,-0.0142517,121.18,-1922.74,337.458,-432.121,-1,13
280,-211,0.00575841,-0.0142517,121.18,-984.11,-902.836,-223.18,-1,10
281,211,0.00575841,-0.0142517,121.18,1122.6,-669.02,-2006.66,1,11
282,-211,0.00575841,-0.0142517,121.18,1047.94,-204.958,-2821.41,-1,18
283,-211,0.00575841,-0.0142517,121.18,996.175,-639.522,-2899.52,-1,19
284,321,0.00575841,-0.0142517,121.18,911.196,1237.23,-1676.34,1,15
285,2212,0.00575841,-0.0142517,121.18,183.618,1816.56,459.905,1,15
286,-211,0.00575841,-0.0142517,121.18,588.837,910.251,-11.0134,-1,15
287,2212,0.00575841,-0.0142517,121.18,301.743,-4700.52,69441.4,1,10
288,211,0.00575841,-0.0142517,121.18,-957.209,2516.3,20245.8,1,9
289,-211,0.00575841,-0.0142517,121.18,-887.309,-488.89,-3453.77,-1,10
290,211,0.00575841,-0.0142517,121.18,2148.86,-527.81,57719.2,1,8
291,321,0.00849676,-0.00652703,121.22,480.364,1334.89,7095.08,1,15
292,-321,0.00575841,-0.0142517,121.18,1229.55,-652.758,-1823.97,-1,13
293,211,0.00575841,-0.0142517,121.18,-144.868,1481.2,-2210.68,1,11
294,-211,0.00575841,-0.0142517,121.18,-424.244,1075.1,-1963,-1,14
295,-211,0.00575841,-0.0142517,121.18,1254.64,-1649.93,-9704.79,-1,22
296,211,0.622038,-0.128119,125.583,2213.44,-298.822,15481.3,1,18
297,-211,0.00849676,-0.00652703,121.22,1324.38,2756.31,13239.8,-1,13
298,211,0.00795416,0.0158332,64.8188,-1088.21,289.472,20556.7,1,10
299,321,0.015525,0.01028,-22.9809,-1077.92,177.22,4000.01,1,28
300,-211,0.00659365,-0.0198959,-6.6947,-1222.93,1185.17,-43477.5,-1,15
301,211,0.00659365,-0.0198959,-6.6947,-942.492,1187.44,-5054.88,1,5
302,321,0.00659365,-0.0198959,-6.6947,1101.26,-821.72,-5079.43,1,21
303,-211,0.00659365,-0.0198959,-6.6947,3526.95,-2114.79,-18511,-1,20
304,-211,-0.00131926,-0.0177108,-65.7272,1201.3,-243.332,4058.71,-1,7
305,-211,-0.00131926,-0.0177108,-65.7272,750.016,666.681,-5331.46,-1,13
306,-211,-0.00131926,-0.0177108,-65.7272,408.139,-1458.75,6654.48,-1,21
307,-211,-0.00131926,-0.0177108,-65.7272,-81.9206,1813.8,-1981.71,-1,13
308,211,-0.00131926,-0.0177108,-65.7272,-809.271,1282.41,1750.32,1,14
309,-321,-0.00131926,-0.0177108,-65.7272,-451.604,-930.369,-1483.52,-1,11
310,211,-0.00131926,-0.0177108,-65.7272,543.601,-925.841,5436.59,1,20
311,211,-0.00131926,-0.0177108,-65.7272,248.727,-1083.81,12863.8,1,18
312,211,-0.00131926,-0.0177108,-65.7272,620.823,2394.08,714.301,1,15
313,-211,-0.00131926,-0.0177108,-65.7272,-407.322,-942.676,529.438,-1,12
314,211,-0.00131926,-0.0177108,-65.7272,-1268.77,68.735,-1063.97,1,15
315,-211,0.00658211,0.00957472,-51.447,747.744,-678.05,-879.258,-1,14
316,211,0.00658211,0.00957472,-51.447,2782.49,-1059.68,-3314.32,1,14
317,211,0.0146684,0.00584322,-16.9867,-967.629,-957.088,-34573.6,1,18
318,211,-0.0195793,0.00933219,24.9981,722.522,1656.5,-7107.54,1,23
319,-211,-0.0195793,0.00933219,24.9981,440.621,1138,3925.16,-1,20
320,211,-0.0195793,0.00933219,24.9981,-1015.38,894.568,534.341,1,16
321,-211,-0.0195793,0.00933219,24.9981,-1175.61,492.901,1121.83,-1,13
322,-2212,-0.0285848,-0.0135754,50.849,1395.74,-35.0605,-140.587,-1,12
323,-211,-0.0285848,-0.0135754,50.849,-1221.58,-229.438,-12945.2,-1,16
